"STATISTIC Label","Year","Age Group","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","11.8"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","6.1"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","25 - 44 years","Male","Emigrants: All destinations","Thousand","6.9"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Male","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","25 - 44 years","Female","Emigrants: All destinations","Thousand","4.9"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Female","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","45 - 64 years","Male","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Male","Immigrants: All origins","Thousand","1"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.7"
"Estimated Migration (Persons in April)","1987","45 - 64 years","Female","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","1987","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1987","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.1"
"Estimated Migration (Persons in April)","1987","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1987","65 years and over","Male","Immigrants: All origins","Thousand","0.5"
"Estimated Migration (Persons in April)","1987","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1987","65 years and over","Female","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","1988","All ages","Both sexes","Net migration","Thousand","-41.9"
"Estimated Migration (Persons in April)","1988","All ages","Both sexes","Emigrants: All destinations","Thousand","61.1"
"Estimated Migration (Persons in April)","1988","All ages","Both sexes","Immigrants: All origins","Thousand","19.2"
"Estimated Migration (Persons in April)","1988","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1988","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","8.3"
"Estimated Migration (Persons in April)","1988","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","3"
"Estimated Migration (Persons in April)","1988","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","0 - 14 years","Male","Emigrants: All destinations","Thousand","4.3"
"Estimated Migration (Persons in April)","1988","0 - 14 years","Male","Immigrants: All origins","Thousand","1.5"
"Estimated Migration (Persons in April)","1988","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","0 - 14 years","Female","Emigrants: All destinations","Thousand","4"
"Estimated Migration (Persons in April)","1988","0 - 14 years","Female","Immigrants: All origins","Thousand","1.5"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","31.2"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","5.4"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","15 - 24 years","Male","Emigrants: All destinations","Thousand","17"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Male","Immigrants: All origins","Thousand","2.4"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","15 - 24 years","Female","Emigrants: All destinations","Thousand","14.3"
"Estimated Migration (Persons in April)","1988","15 - 24 years","Female","Immigrants: All origins","Thousand","3"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","18.3"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","7.2"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","25 - 44 years","Male","Emigrants: All destinations","Thousand","11"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Male","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","25 - 44 years","Female","Emigrants: All destinations","Thousand","7.3"
"Estimated Migration (Persons in April)","1988","25 - 44 years","Female","Immigrants: All origins","Thousand","3.2"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","45 - 64 years","Male","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Male","Immigrants: All origins","Thousand","1.1"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","45 - 64 years","Female","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","1988","45 - 64 years","Female","Immigrants: All origins","Thousand","1"
"Estimated Migration (Persons in April)","1988","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1988","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1988","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1988","65 years and over","Male","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1988","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1988","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1988","65 years and over","Female","Immigrants: All origins","Thousand","0.5"
"Estimated Migration (Persons in April)","1989","All ages","Both sexes","Net migration","Thousand","-43.9"
"Estimated Migration (Persons in April)","1989","All ages","Both sexes","Emigrants: All destinations","Thousand","70.6"
"Estimated Migration (Persons in April)","1989","All ages","Both sexes","Immigrants: All origins","Thousand","26.7"
"Estimated Migration (Persons in April)","1989","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1989","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1989","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","7.8"
"Estimated Migration (Persons in April)","1989","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","4.4"
"Estimated Migration (Persons in April)","1989","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","0 - 14 years","Male","Emigrants: All destinations","Thousand","4.1"
"Estimated Migration (Persons in April)","1989","0 - 14 years","Male","Immigrants: All origins","Thousand","2.3"
"Estimated Migration (Persons in April)","1989","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","0 - 14 years","Female","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration (Persons in April)","1989","0 - 14 years","Female","Immigrants: All origins","Thousand","2.1"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","37"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","7.7"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","15 - 24 years","Male","Emigrants: All destinations","Thousand","19.2"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Male","Immigrants: All origins","Thousand","3.7"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","15 - 24 years","Female","Emigrants: All destinations","Thousand","17.8"
"Estimated Migration (Persons in April)","1989","15 - 24 years","Female","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","21.9"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","10.6"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","25 - 44 years","Male","Emigrants: All destinations","Thousand","13.7"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Male","Immigrants: All origins","Thousand","5.8"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","25 - 44 years","Female","Emigrants: All destinations","Thousand","8.2"
"Estimated Migration (Persons in April)","1989","25 - 44 years","Female","Immigrants: All origins","Thousand","4.7"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","3.8"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","45 - 64 years","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Male","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","45 - 64 years","Female","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration (Persons in April)","1989","45 - 64 years","Female","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1989","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1989","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","1989","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1989","65 years and over","Male","Immigrants: All origins","Thousand","1"
"Estimated Migration (Persons in April)","1989","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1989","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1989","65 years and over","Female","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1990","All ages","Both sexes","Net migration","Thousand","-22.9"
"Estimated Migration (Persons in April)","1990","All ages","Both sexes","Emigrants: All destinations","Thousand","56.3"
"Estimated Migration (Persons in April)","1990","All ages","Both sexes","Immigrants: All origins","Thousand","33.3"
"Estimated Migration (Persons in April)","1990","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1990","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1990","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","6.7"
"Estimated Migration (Persons in April)","1990","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","5.2"
"Estimated Migration (Persons in April)","1990","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","0 - 14 years","Male","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration (Persons in April)","1990","0 - 14 years","Male","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1990","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","0 - 14 years","Female","Emigrants: All destinations","Thousand","3.1"
"Estimated Migration (Persons in April)","1990","0 - 14 years","Female","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","30.8"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","10.1"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","15 - 24 years","Male","Emigrants: All destinations","Thousand","14.3"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Male","Immigrants: All origins","Thousand","4.7"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","15 - 24 years","Female","Emigrants: All destinations","Thousand","16.5"
"Estimated Migration (Persons in April)","1990","15 - 24 years","Female","Immigrants: All origins","Thousand","5.4"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","16.9"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","14"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","25 - 44 years","Male","Emigrants: All destinations","Thousand","9.7"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Male","Immigrants: All origins","Thousand","8"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","25 - 44 years","Female","Emigrants: All destinations","Thousand","7.2"
"Estimated Migration (Persons in April)","1990","25 - 44 years","Female","Immigrants: All origins","Thousand","5.9"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","1.9"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","45 - 64 years","Male","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Male","Immigrants: All origins","Thousand","1.5"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","1990","45 - 64 years","Female","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","1990","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1990","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1990","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1990","65 years and over","Male","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","1990","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1990","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1990","65 years and over","Female","Immigrants: All origins","Thousand","0.5"
"Estimated Migration (Persons in April)","1991","All ages","Both sexes","Net migration","Thousand","-2"
"Estimated Migration (Persons in April)","1991","All ages","Both sexes","Emigrants: All destinations","Thousand","35.3"
"Estimated Migration (Persons in April)","1991","All ages","Both sexes","Immigrants: All origins","Thousand","33.3"
"Estimated Migration (Persons in April)","1991","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1991","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1991","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1991","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1991","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","4.6"
"Estimated Migration (Persons in April)","1991","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","5.2"
"Estimated Migration (Persons in April)","1991","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","0 - 14 years","Male","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration (Persons in April)","1991","0 - 14 years","Male","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1991","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","0 - 14 years","Female","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration (Persons in April)","1991","0 - 14 years","Female","Immigrants: All origins","Thousand","2.6"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","19.9"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","9.3"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","15 - 24 years","Male","Emigrants: All destinations","Thousand","9.5"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Male","Immigrants: All origins","Thousand","4.5"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","15 - 24 years","Female","Emigrants: All destinations","Thousand","10.4"
"Estimated Migration (Persons in April)","1991","15 - 24 years","Female","Immigrants: All origins","Thousand","4.8"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","10.5"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","14.6"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","25 - 44 years","Male","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Male","Immigrants: All origins","Thousand","8"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","25 - 44 years","Female","Emigrants: All destinations","Thousand","4.7"
"Estimated Migration (Persons in April)","1991","25 - 44 years","Female","Immigrants: All origins","Thousand","6.5"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","45 - 64 years","Male","Emigrants: All destinations","Thousand","0.1"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Male","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","1991","45 - 64 years","Female","Immigrants: All origins","Thousand","1.1"
"Estimated Migration (Persons in April)","1991","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1991","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","1991","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1991","65 years and over","Male","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1991","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1991","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1991","65 years and over","Female","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","1992","All ages","Both sexes","Net migration","Thousand","7.4"
"Estimated Migration (Persons in April)","1992","All ages","Both sexes","Emigrants: All destinations","Thousand","33.4"
"Estimated Migration (Persons in April)","1992","All ages","Both sexes","Immigrants: All origins","Thousand","40.7"
"Estimated Migration (Persons in April)","1992","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1992","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1992","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1992","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1992","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0.7"
"Estimated Migration (Persons in April)","1992","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","6.2"
"Estimated Migration (Persons in April)","1992","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","1992","0 - 14 years","Male","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1992","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","0 - 14 years","Female","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","1992","0 - 14 years","Female","Immigrants: All origins","Thousand","2.8"
"Estimated Migration (Persons in April)","1992","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","22.5"
"Estimated Migration (Persons in April)","1992","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","12.5"
"Estimated Migration (Persons in April)","1992","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1992","15 - 24 years","Male","Emigrants: All destinations","Thousand","10.8"
"Estimated Migration (Persons in April)","1992","15 - 24 years","Male","Immigrants: All origins","Thousand","6"
